length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
167	20829403	3138987	3002224	3735412	3719026	1187131	2268381	2191471	2873176	3080423	3195018	3297414	14781260	2272836	22979233	3444268	3256683	4166461	4069143	3181422	8781901	4146513	3099688	3492805	3544549	3633305	15658920	5539694
168	20755204	2948163	2897794	3573650	3416306	1137757	2175709	2119772	2773181	2955006	3111230	3153329	15607014	2264105	22915058	3238256	3145035	3992826	3742880	3055582	8460618	4026869	2986282	3353287	3455222	3475377	16537770	5531488
169	20471733	2735193	2755071	3372719	3109789	1063104	2039989	2003145	2628586	2785786	2994105	2973213	16168784	2192460	22570282	3007257	2994229	3773575	3407940	2865468	7978639	3814416	2835724	3162998	3321816	3278155	17122964	5371039
170	19869893	2519208	2585197	3128028	2813425	984221	1887315	1865755	2460055	2582467	2830970	2763111	16206685	2082756	21922488	2771700	2810849	3501322	3087939	2648350	7392373	3559074	2658204	2930352	3143422	3048139	17173544	5107213
171	19168887	2314606	2398936	2881657	2560069	905426	1733062	1733720	2303460	2372917	2659353	2561542	15870008	1959895	21142750	2549623	2610934	3229352	2811444	2435058	6787700	3305469	2485475	2695189	2956216	2826836	16817961	4806161
172	18676983	2167874	2242786	2687681	2380891	836193	1600447	1617215	2184250	2203648	2529515	2409301	15347241	1845111	20587893	2388407	2441528	3016085	2617175	2251269	6263821	3087057	2359313	2503452	2811186	2657895	16275311	4537047
173	18586810	2097293	2142213	2569854	2283999	784728	1497254	1535313	2135923	2095320	2469368	2327141	14837971	1768816	20509583	2312751	2334623	2885958	2512481	2111382	5863219	2928521	2309178	2379155	2745867	2568736	15732075	4349979
174	18819218	2070861	2077039	2491773	2230682	748066	1423993	1485360	2134206	2022170	2452211	2299629	14304309	1735488	20740595	2281389	2261504	2795977	2452744	2020546	5584564	2832820	2306089	2298398	2726958	2537451	15205913	4267281
175	19016505	2058081	2025123	2413330	2166857	718166	1359984	1453343	2128036	1958048	2438578	2265441	14004533	1723500	20987624	2267790	2203889	2706119	2382276	1941671	5352835	2774238	2300084	2225789	2712856	2500646	14881031	4243567
176	18931213	2000214	1946755	2308560	2056727	689124	1289538	1407502	2085694	1876399	2387638	2189897	14008500	1712094	20895035	2202911	2118753	2588511	2259159	1861264	5087878	2695880	2252602	2131538	2653908	2418477	14853417	4225224
177	18339561	1882580	1834314	2158443	1886807	645099	1201299	1336915	1976040	1760148	2262943	2057115	14169888	1664374	20255148	2072054	1995049	2418036	2073984	1747018	4751033	2563160	2135432	2000319	2516813	2269080	15048362	4109441
178	17369100	1712890	1695524	1972255	1680176	591132	1094392	1234432	1826483	1613438	2086028	1875740	14348904	1560370	19177204	1886039	1844967	2210284	1847126	1597908	4345877	2364808	1972557	1833798	2320257	2071628	15260858	3857747
179	16200903	1529809	1543612	1778890	1474039	532565	986880	1116106	1656677	1459373	1891715	1685809	14458888	1419786	17899364	1684850	1679991	1993919	1620270	1443012	3919793	2144897	1790043	1659636	2104909	1861239	15347414	3509990
180	15048971	1360565	1398948	1594889	1285801	479241	885744	1010761	1493727	1315295	1706712	1503765	14332777	1272764	16623662	1499149	1522430	1788661	1414891	1301628	3529288	1937456	1615581	1496012	1900026	1660894	15207601	3150945
181	13994329	1216252	1265180	1429679	1129820	433308	799354	913568	1353948	1185149	1544708	1349704	13930270	1143383	15472597	1339949	1377647	1604845	1244075	1176560	3183149	1753836	1465581	1348775	1719850	1490713	14813555	2837444
182	13115475	1103337	1150893	1293456	1008691	394625	723876	836165	1240794	1084776	1412683	1223250	13438983	1042615	14501467	1215450	1253987	1450623	1110829	1072225	2891169	1607165	1342805	1233339	1573002	1351662	14288030	2592249
183	12413506	1015460	1062790	1183344	914636	362713	665222	772202	1157748	998729	1307486	1124071	12852721	966079	13727973	1119997	1158105	1328739	1006839	987027	2651715	1486235	1253099	1136320	1455977	1241697	13677706	2399664
184	11906363	953415	990588	1096076	843939	335247	616578	720361	1095210	936083	1232040	1053488	12335625	908877	13167884	1051026	1078909	1230690	929822	912865	2453334	1387537	1185790	1064661	1372061	1163351	13125968	2258199
185	11561402	910012	934129	1029454	790281	313447	575161	677069	1055442	890672	1176497	1001766	11948933	864619	12782323	1002447	1017045	1155261	870906	855303	2296812	1302697	1142491	1013610	1310028	1107796	12724198	2153202
186	11245298	871225	888021	971888	743260	295783	539767	640741	1022500	853606	1128197	958521	11725409	824007	12434583	960449	966422	1091545	818799	803202	2158933	1235461	1107362	971484	1255570	1059685	12483210	2055485
187	10888265	827856	840621	918010	698110	277767	508145	605287	986742	814559	1080070	913227	11667122	778222	12045474	912508	915321	1030655	767980	759813	2038767	1168419	1067826	926780	1202224	1009134	12424975	1947204
